skills,career
python machine learning statistics,data scientist
python ml ai,data scientist
data analysis pandas python,data scientist
deep learning neural networks,data scientist
html css javascript,web developer
react javascript frontend,web developer
web design html css,web developer
backend python flask,web developer
figma photoshop design,ui ux designer
ui wireframe prototyping,ui ux designer
creative design user research,ui ux designer
adobe xd figma,ui ux designer
excel tally gst,accountant
accounting finance taxation,accountant
bookkeeping auditing,accountant
financial reporting excel,accountant
seo social media marketing,digital marketer
content marketing branding,digital marketer
google ads seo,digital marketer
email marketing campaigns,digital marketer
communication sales negotiation,sales executive
customer handling business development,sales executive
lead generation sales,sales executive
marketing communication sales,sales executive
